gold_id,entity_name,entity_type,definition_keypoint,source_page,source_excerpt,relation_source,relation_target,relation_type,reviewer,status
G001,,,,,,,,,,待标注
G002,,,,,,,,,,待标注
G003,,,,,,,,,,待标注
G004,,,,,,,,,,待标注
G005,,,,,,,,,,待标注
G006,,,,,,,,,,待标注
G007,,,,,,,,,,待标注
G008,,,,,,,,,,待标注
G009,,,,,,,,,,待标注
G010,,,,,,,,,,待标注
G011,,,,,,,,,,待标注
G012,,,,,,,,,,待标注
G013,,,,,,,,,,待标注
G014,,,,,,,,,,待标注
G015,,,,,,,,,,待标注
G016,,,,,,,,,,待标注
G017,,,,,,,,,,待标注
G018,,,,,,,,,,待标注
G019,,,,,,,,,,待标注
G020,,,,,,,,,,待标注
